Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Date,Team,Unnamed: 2,Opp,Result,GmSc,+/-
1990-91,27.0,WSB,NBA,PF,42,1,14.0,2.4,5.4,.440,0.1,0.5,.238,2.2,4.9,.461,.451,1.0,1.1,.854,1.0,1.8,2.8,1.1,0.4,0.2,1.0,2.1,5.8,Mark Alarie,,,,,,,
1991-92,28.0,Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Did Not Play (injury—knee),Mark Alarie,,,,,,,
Career,,,NBA,,325,41,16.9,3.2,6.7,.475,0.1,0.4,.252,3.1,6.3,.490,.483,1.0,1.3,.775,1.3,2.1,3.4,1.1,0.4,0.3,1.0,2.2,7.5,Mark Alarie,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mark Alarie,,,,,,,
4 seasons,,WSB,NBA,,261,16,16.8,3.1,6.7,.471,0.1,0.5,.254,3.0,6.2,.488,.480,1.0,1.2,.811,1.4,2.1,3.5,1.1,0.4,0.3,1.0,2.2,7.4,Mark Alarie,,,,,,,
1 season,,DEN,NBA,,64,25,17.3,3.4,6.9,.490,0.0,0.1,.222,3.4,6.8,.495,.492,1.0,1.6,.663,1.1,2.2,3.3,1.2,0.3,0.4,0.9,2.2,7.9,Mark Alarie,,,,,,,
1959-60,23.0,DET,NBA,C,58.0,,11.6,1.6,5.4,0.292,,,,,,,,0.8,1.4,0.571,,,4.8,0.4,,,,2.1,4.0,Gary Alcorn,,,,,,,
1960-61,24.0,LAL,NBA,C,20.0,,8.7,0.6,2.0,0.3,,,,,,,,0.4,0.4,0.875,,,2.5,0.1,,,,2.4,1.6,Gary Alcorn,,,,,,,
Career,,,NBA,,78.0,,10.8,1.3,4.5,0.293,,,,,,,,0.7,1.2,0.598,,,4.2,0.3,,,,2.2,3.3,Gary Alcorn,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gary Alcorn,,,,,,,
1 season,,DET,NBA,,58.0,,11.6,1.6,5.4,0.292,,,,,,,,0.8,1.4,0.571,,,4.8,0.4,,,,2.1,4.0,Gary Alcorn,,,,,,,
1 season,,LAL,NBA,,20.0,,8.7,0.6,2.0,0.3,,,,,,,,0.4,0.4,0.875,,,2.5,0.1,,,,2.4,1.6,Gary Alcorn,,,,,,,
,,,,,,*,34,5,14,0.357,5,8,0.625,,,,,1,1,1.0,2,5,7,2,2,0,2,2,16,Santi Aldama,2024-01-29,MEM,,SAC,L 94-103,11.7,-6.0
,,,,,,*,28,4,11,0.364,2,5,0.4,,,,,0,0,,1,5,6,1,0,0,1,0,10,Santi Aldama,2024-01-28,MEM,@,IND,L 110-116,5.8,-1.0
,,,,,,*,29,6,9,0.667,2,5,0.4,,,,,0,0,,2,5,7,5,0,0,1,2,14,Santi Aldama,2024-01-26,MEM,,ORL,W 107-106,14.7,-2.0
,,,,,,*,23,4,9,0.444,1,4,0.25,,,,,1,1,1.0,1,3,4,4,1,0,1,0,10,Santi Aldama,2024-01-22,MEM,@,TOR,W 108-100,9.7,12.0
,,,,,,*,28,2,7,0.286,1,5,0.2,,,,,0,0,,0,8,8,3,1,2,2,0,5,Santi Aldama,2024-01-20,MEM,@,CHI,L 96-125,5.8,-25.0
2014-15,23.0,PHI,NBA,PF,41,9,13.2,1.0,1.9,0.513,0.0,0.1,0.0,1.0,1.8,0.548,0.513,0.3,0.7,0.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3,Furkan Aldemir,,,,,,,
Career,,,NBA,,41,9,13.2,1.0,1.9,0.513,0.0,0.1,0.0,1.0,1.8,0.548,0.513,0.3,0.7,0.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3,Furkan Aldemir,,,,,,,
2010-11,22.0,OKC,NBA,C,18.0,0.0,7.9,0.4,0.8,0.533,0.0,0.0,,0.4,0.8,0.533,0.533,0.1,0.2,0.5,0.7,1.2,1.9,0.2,0.3,0.4,0.4,1.7,1.0,Cole Aldrich,,,,,,,
2011-12,23.0,OKC,NBA,C,26.0,0.0,6.7,0.8,1.6,0.524,0.0,0.0,,0.8,1.6,0.524,0.524,0.5,0.5,0.929,0.5,1.3,1.8,0.1,0.3,0.6,0.3,0.8,2.2,Cole Aldrich,,,,,,,
2012-13,24.0,TOT,NBA,C,45.0,0.0,8.6,1.0,1.8,0.55,0.0,0.0,,1.0,1.8,0.55,0.55,0.3,0.4,0.6,0.7,2.0,2.7,0.2,0.1,0.5,0.5,1.3,2.2,Cole Aldrich,,,,,,,
2012-13,24.0,HOU,NBA,C,30.0,0.0,7.1,0.8,1.4,0.535,0.0,0.0,,0.8,1.4,0.535,0.535,0.1,0.3,0.444,0.4,1.5,1.9,0.2,0.1,0.3,0.5,1.4,1.7,Cole Aldrich,,,,,,,
2012-13,24.0,SAC,NBA,C,15.0,0.0,11.7,1.4,2.5,0.568,0.0,0.0,,1.4,2.5,0.568,0.568,0.5,0.7,0.727,1.2,3.0,4.2,0.2,0.1,0.9,0.6,1.3,3.3,Cole Aldrich,,,,,,,
2013-14,25.0,NYK,NBA,C,46.0,2.0,7.2,0.7,1.3,0.541,0.0,0.0,,0.7,1.3,0.541,0.541,0.6,0.7,0.867,0.8,2.0,2.8,0.3,0.2,0.7,0.4,0.9,2.0,Cole Aldrich,,,,,,,
2014-15,26.0,NYK,NBA,C,61.0,16.0,16.0,2.4,4.9,0.478,0.0,0.0,,2.4,4.9,0.478,0.478,0.8,1.0,0.781,1.7,3.9,5.5,1.2,0.6,1.1,1.0,2.0,5.5,Cole Aldrich,,,,,,,
2015-16,27.0,LAC,NBA,C,60.0,5.0,13.3,2.2,3.8,0.596,0.0,0.0,,2.2,3.8,0.596,0.596,1.0,1.4,0.714,1.4,3.4,4.8,0.8,0.8,1.1,1.1,2.3,5.5,Cole Aldrich,,,,,,,
2016-17,28.0,MIN,NBA,C,62.0,0.0,8.6,0.7,1.4,0.523,0.0,0.0,,0.7,1.4,0.523,0.523,0.2,0.4,0.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7,Cole Aldrich,,,,,,,
2017-18,29.0,MIN,NBA,C,21.0,0.0,2.3,0.2,0.7,0.333,0.0,0.0,,0.2,0.7,0.333,0.333,0.1,0.3,0.333,0.1,0.6,0.7,0.1,0.1,0.0,0.0,0.5,0.6,Cole Aldrich,,,,,,,
Career,,,NBA,,339.0,23.0,10.0,1.3,2.4,0.527,0.0,0.0,,1.3,2.4,0.527,0.527,0.5,0.7,0.738,1.0,2.4,3.3,0.5,0.4,0.7,0.6,1.5,3.1,Cole Aldrich,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cole Aldrich,,,,,,,
2 seasons,,NYK,NBA,,107.0,18.0,12.2,1.7,3.4,0.489,0.0,0.0,,1.7,3.4,0.489,0.489,0.7,0.9,0.809,1.3,3.1,4.4,0.8,0.4,0.9,0.7,1.5,4.0,Cole Aldrich,,,,,,,
2 seasons,,MIN,NBA,,83.0,0.0,7.0,0.6,1.2,0.495,0.0,0.0,,0.6,1.2,0.495,0.495,0.2,0.3,0.607,0.7,1.4,2.1,0.3,0.3,0.3,0.2,1.2,1.4,Cole Aldrich,,,,,,,
1 season,,LAC,NBA,,60.0,5.0,13.3,2.2,3.8,0.596,0.0,0.0,,2.2,3.8,0.596,0.596,1.0,1.4,0.714,1.4,3.4,4.8,0.8,0.8,1.1,1.1,2.3,5.5,Cole Aldrich,,,,,,,
2 seasons,,OKC,NBA,,44.0,0.0,7.2,0.7,1.3,0.526,0.0,0.0,,0.7,1.3,0.526,0.526,0.3,0.4,0.833,0.6,1.3,1.9,0.2,0.3,0.5,0.4,1.2,1.7,Cole Aldrich,,,,,,,
1 season,,HOU,NBA,,30.0,0.0,7.1,0.8,1.4,0.535,0.0,0.0,,0.8,1.4,0.535,0.535,0.1,0.3,0.444,0.4,1.5,1.9,0.2,0.1,0.3,0.5,1.4,1.7,Cole Aldrich,,,,,,,
1 season,,SAC,NBA,,15.0,0.0,11.7,1.4,2.5,0.568,0.0,0.0,,1.4,2.5,0.568,0.568,0.5,0.7,0.727,1.2,3.0,4.2,0.2,0.1,0.9,0.6,1.3,3.3,Cole Aldrich,,,,,,,
2006-07,21.0,POR,NBA,C,63.0,22.0,22.1,3.8,7.6,0.503,0.0,0.0,0.0,3.8,7.6,0.505,0.503,1.3,1.8,0.722,2.3,2.7,5.0,0.4,0.3,1.2,0.7,3.0,9.0,LaMarcus Aldridge,,,,,,,
2007-08,22.0,POR,NBA,PF,76.0,76.0,34.9,7.4,15.3,0.484,0.0,0.1,0.143,7.4,15.2,0.486,0.484,3.0,3.9,0.762,2.9,4.7,7.6,1.6,0.7,1.2,1.7,3.2,17.8,LaMarcus Aldridge,,,,,,,
2008-09,23.0,POR,NBA,PF,81.0,81.0,37.1,7.4,15.3,0.484,0.1,0.3,0.25,7.3,15.0,0.489,0.486,3.2,4.1,0.781,2.9,4.6,7.5,1.9,1.0,1.0,1.5,2.6,18.1,LaMarcus Aldridge,,,,,,,
2009-10,24.0,POR,NBA,PF,78.0,78.0,37.5,7.4,15.0,0.495,0.1,0.2,0.313,7.4,14.8,0.498,0.497,2.9,3.9,0.757,2.5,5.6,8.0,2.1,0.9,0.6,1.3,3.0,17.9,LaMarcus Aldridge,,,,,,,
2010-11,25.0,POR,NBA,PF,81.0,81.0,39.6,8.7,17.5,0.5,0.0,0.3,0.174,8.7,17.2,0.505,0.501,4.3,5.5,0.791,3.4,5.3,8.8,2.1,1.0,1.2,1.9,2.7,21.8,LaMarcus Aldridge,,,,,,,
2011-12,26.0,POR,NBA,PF,55.0,55.0,36.3,8.8,17.1,0.512,0.0,0.2,0.182,8.7,16.9,0.516,0.513,4.1,5.0,0.814,2.7,5.3,8.0,2.4,0.9,0.8,2.0,2.8,21.7,LaMarcus Aldridge,,,,,,,
2012-13,27.0,POR,NBA,PF,74.0,74.0,37.7,8.6,17.8,0.484,0.0,0.2,0.143,8.6,17.6,0.488,0.485,3.8,4.7,0.81,2.4,6.7,9.1,2.6,0.8,1.2,1.9,2.5,21.1,LaMarcus Aldridge,,,,,,,
2013-14,28.0,POR,NBA,PF,69.0,69.0,36.2,9.4,20.6,0.458,0.0,0.2,0.2,9.4,20.4,0.461,0.459,4.3,5.2,0.822,2.4,8.7,11.1,2.6,0.9,1.0,1.8,2.1,23.2,LaMarcus Aldridge,,,,,,,
2014-15,29.0,POR,NBA,PF,71.0,71.0,35.4,9.3,19.9,0.466,0.5,1.5,0.352,8.8,18.5,0.475,0.479,4.3,5.1,0.845,2.5,7.7,10.2,1.7,0.7,1.0,1.7,1.8,23.4,LaMarcus Aldridge,,,,,,,
2015-16,30.0,SAS,NBA,PF,74.0,74.0,30.6,7.2,14.1,0.513,0.0,0.2,0.0,7.2,13.9,0.521,0.513,3.5,4.1,0.858,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2.0,18.0,LaMarcus Aldridge,,,,,,,
2016-17,31.0,SAS,NBA,PF,72.0,72.0,32.4,6.9,14.6,0.477,0.3,0.8,0.411,6.6,13.8,0.48,0.488,3.1,3.8,0.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3,LaMarcus Aldridge,,,,,,,
2017-18,32.0,SAS,NBA,C,75.0,75.0,33.5,9.2,18.0,0.51,0.4,1.2,0.293,8.8,16.7,0.526,0.52,4.5,5.3,0.837,3.3,5.2,8.5,2.0,0.6,1.2,1.5,2.1,23.1,LaMarcus Aldridge,,,,,,,
2018-19,33.0,SAS,NBA,C,81.0,81.0,33.2,8.4,16.3,0.519,0.1,0.5,0.238,8.3,15.8,0.528,0.522,4.3,5.1,0.847,3.1,6.1,9.2,2.4,0.5,1.3,1.8,2.2,21.3,LaMarcus Aldridge,,,,,,,
2019-20,34.0,SAS,NBA,C,53.0,53.0,33.1,7.4,15.0,0.493,1.2,3.0,0.389,6.2,12.0,0.519,0.532,3.0,3.6,0.827,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9,LaMarcus Aldridge,,,,,,,
2020-21,35.0,TOT,NBA,C,26.0,23.0,25.9,5.4,11.4,0.473,1.2,3.1,0.388,4.2,8.3,0.505,0.525,1.6,1.8,0.872,0.7,3.8,4.5,1.9,0.4,1.1,1.0,1.8,13.5,LaMarcus Aldridge,,,,,,,
2020-21,35.0,SAS,NBA,C,21.0,18.0,25.9,5.5,11.8,0.464,1.3,3.6,0.36,4.2,8.2,0.509,0.518,1.5,1.8,0.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0,1.7,13.7,LaMarcus Aldridge,,,,,,,
2020-21,35.0,BRK,NBA,C,5.0,5.0,26.0,5.0,9.6,0.521,0.8,1.0,0.8,4.2,8.6,0.488,0.563,2.0,2.0,1.0,0.4,4.4,4.8,2.6,0.6,2.2,1.4,2.2,12.8,LaMarcus Aldridge,,,,,,,
2021-22,36.0,BRK,NBA,C,47.0,12.0,22.3,5.4,9.7,0.55,0.3,1.0,0.304,5.1,8.8,0.578,0.566,1.9,2.2,0.873,1.6,3.9,5.5,0.9,0.3,1.0,0.9,1.7,12.9,LaMarcus Aldridge,,,,,,,
Career,,,NBA,,1076.0,997.0,33.7,7.7,15.7,0.493,0.2,0.7,0.32,7.5,15.0,0.5,0.499,3.4,4.2,0.813,2.6,5.5,8.1,1.9,0.7,1.1,1.5,2.4,19.1,LaMarcus Aldridge,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LaMarcus Aldridge,,,,,,,
9 seasons,,POR,NBA,,648.0,607.0,35.5,7.9,16.3,0.485,0.1,0.3,0.276,7.8,16.0,0.489,0.488,3.5,4.4,0.796,2.7,5.7,8.4,1.9,0.8,1.0,1.6,2.6,19.4,LaMarcus Aldridge,,,,,,,
6 seasons,,SAS,NBA,,376.0,373.0,32.2,7.7,15.4,0.502,0.4,1.2,0.338,7.4,14.3,0.516,0.515,3.6,4.3,0.838,2.6,5.5,8.0,2.0,0.6,1.3,1.5,2.2,19.5,LaMarcus Aldridge,,,,,,,
2 seasons,,BRK,NBA,,52.0,17.0,22.7,5.3,9.7,0.547,0.3,1.0,0.353,5.0,8.8,0.569,0.565,1.9,2.2,0.884,1.4,4.0,5.4,1.1,0.3,1.1,1.0,1.7,12.9,LaMarcus Aldridge,,,,,,,
1984-85,25.0,GSW,NBA,C,74,4,15.1,2.2,4.6,0.478,0.0,0.0,0.0,2.2,4.5,0.479,0.478,0.7,1.0,0.733,1.2,2.5,3.6,0.5,0.2,0.2,1.0,2.3,5.1,Chuck Aleksinas,,,,,,,
Career,,,NBA,,74,4,15.1,2.2,4.6,0.478,0.0,0.0,0.0,2.2,4.5,0.479,0.478,0.7,1.0,0.733,1.2,2.5,3.6,0.5,0.2,0.2,1.0,2.3,5.1,Chuck Aleksinas,,,,,,,
2015-16,20.0,POR,NBA,PF,8,0,4.5,0.6,1.3,0.5,0.0,0.0,,0.6,1.3,0.5,0.5,0.0,0.0,,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,1.3,Cliff Alexander,,,,,,,
Career,,,NBA,,8,0,4.5,0.6,1.3,0.5,0.0,0.0,,0.6,1.3,0.5,0.5,0.0,0.0,,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,1.3,Cliff Alexander,,,,,,,
1995-96,22.0,SAS,NBA,PG,60,0,9.3,1.1,2.6,.406,0.4,1.1,.394,0.6,1.5,.416,.490,0.3,0.4,.640,0.2,0.6,0.7,2.0,0.5,0.0,1.1,1.6,2.8,Cory Alexander,,,,,,,
1996-97,23.0,SAS,NBA,PG,80,6,18.2,2.4,6.1,.396,1.2,3.2,.373,1.3,3.0,.420,.492,1.2,1.6,.736,0.4,1.2,1.5,3.2,1.0,0.2,1.8,1.9,7.2,Cory Alexander,,,,,,,
1997-98,24.0,TOT,NBA,PG,60,22,21.6,2.9,6.7,.428,1.1,2.9,.375,1.8,3.7,.469,.510,1.3,1.7,.784,0.3,2.2,2.4,3.5,1.2,0.2,1.9,1.6,8.1,Cory Alexander,,,,,,,
1997-98,24.0,SAS,NBA,PG,37,3,13.5,1.6,3.9,.414,0.5,1.7,.313,1.1,2.2,.494,.483,0.7,1.0,.676,0.2,1.1,1.3,1.9,0.7,0.1,1.3,1.4,4.5,Cory Alexander,,,,,,,
1997-98,24.0,DEN,NBA,PG,23,19,34.7,4.8,11.1,.435,2.0,4.9,.411,2.8,6.2,.455,.525,2.4,2.8,.846,0.4,3.9,4.3,6.0,2.0,0.3,2.8,2.0,14.0,Cory Alexander,,,,,,,
1998-99,25.0,DEN,NBA,PG,36,4,21.6,2.7,7.2,.373,0.8,2.9,.286,1.9,4.3,.432,.431,1.0,1.2,.841,0.2,1.9,2.1,3.3,1.0,0.1,1.9,2.1,7.3,Cory Alexander,,,,,,,
1999-00,26.0,DEN,NBA,PG,29,2,11.3,1.0,3.4,.286,0.3,1.2,.257,0.7,2.2,.302,.332,0.6,0.8,.773,0.3,1.2,1.4,2.0,0.8,0.1,1.0,1.3,2.8,Cory Alexander,,,,,,,
2000-01,27.0,ORL,NBA,PG,26,0,8.7,0.7,2.2,.321,0.2,0.6,.250,0.5,1.5,.350,.357,0.5,0.7,.667,0.0,1.0,1.0,1.4,0.6,0.0,1.0,1.1,2.0,Cory Alexander,,,,,,,
2001-02,28.0,Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Did Not Play (unsigned),Cory Alexander,,,,,,,
2002-03,29.0,Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Did Not Play (other pro league—D-League),Cory Alexander,,,,,,,
2003-04,30.0,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Cory Alexander,,,,,,,
2004-05,31.0,CHA,NBA,SG,16,1,12.6,1.0,3.1,.327,0.5,1.2,.421,0.5,1.9,.267,.408,0.6,0.8,.750,0.5,1.3,1.8,2.3,0.6,0.1,1.2,1.8,3.1,Cory Alexander,,,,,,,
Career,,,NBA,,307,35,15.8,1.9,4.9,.389,0.8,2.2,.354,1.1,2.7,.417,.468,0.9,1.1,.756,0.3,1.3,1.6,2.7,0.9,0.1,1.5,1.7,5.5,Cory Alexander,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cory Alexander,,,,,,,
3 seasons,,SAS,NBA,,177,9,14.2,1.8,4.5,.401,0.8,2.2,.366,1.0,2.3,.434,.490,0.8,1.1,.712,0.3,0.9,1.2,2.5,0.8,0.1,1.5,1.7,5.1,Cory Alexander,,,,,,,
3 seasons,,DEN,NBA,,88,25,21.6,2.7,7.0,.385,1.0,2.9,.337,1.7,4.1,.418,.454,1.2,1.5,.832,0.3,2.2,2.4,3.6,1.2,0.1,1.8,1.8,7.6,Cory Alexander,,,,,,,
1 season,,ORL,NBA,,26,0,8.7,0.7,2.2,.321,0.2,0.6,.250,0.5,1.5,.350,.357,0.5,0.7,.667,0.0,1.0,1.0,1.4,0.6,0.0,1.0,1.1,2.0,Cory Alexander,,,,,,,
1 season,,CHA,NBA,,16,1,12.6,1.0,3.1,.327,0.5,1.2,.421,0.5,1.9,.267,.408,0.6,0.8,.750,0.5,1.3,1.8,2.3,0.6,0.1,1.2,1.8,3.1,Cory Alexander,,,,,,,
2000-01,23.0,TOT,NBA,PG,65.0,24.0,21.3,3.7,8.8,0.417,0.3,0.7,0.37,3.4,8.1,0.421,0.432,1.9,2.3,0.82,0.6,1.6,2.2,1.0,0.7,0.1,1.2,2.1,9.5,Courtney Alexander,,,,,,,
2000-01,23.0,DAL,NBA,PG,38.0,6.0,12.4,1.6,4.7,0.348,0.1,0.3,0.3,1.6,4.4,0.351,0.357,0.9,1.2,0.733,0.5,1.1,1.7,0.6,0.4,0.1,0.6,2.0,4.2,Courtney Alexander,,,,,,,
2000-01,23.0,WAS,NBA,PG,27.0,18.0,33.7,6.6,14.6,0.448,0.5,1.3,0.389,6.0,13.3,0.454,0.466,3.3,3.9,0.857,0.8,2.1,3.0,1.5,1.1,0.1,2.0,2.3,17.0,Courtney Alexander,,,,,,,
2001-02,24.0,WAS,NBA,SG,56.0,28.0,23.7,4.0,8.5,0.47,0.1,0.3,0.278,3.9,8.1,0.478,0.476,1.8,2.2,0.81,0.8,1.9,2.6,1.5,0.6,0.1,1.1,2.0,9.8,Courtney Alexander,,,,,,,
2002-03,25.0,NOH,NBA,PG,66.0,7.0,20.6,2.9,7.7,0.382,0.3,0.9,0.333,2.6,6.8,0.388,0.401,1.8,2.2,0.808,0.6,1.2,1.8,1.2,0.5,0.1,1.0,1.9,7.9,Courtney Alexander,,,,,,,
Career,,,NBA,,187.0,59.0,21.7,3.5,8.3,0.422,0.2,0.6,0.339,3.3,7.7,0.429,0.435,1.8,2.2,0.813,0.7,1.5,2.2,1.2,0.6,0.1,1.1,2.0,9.0,Courtney Alexander,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Courtney Alexander,,,,,,,
2 seasons,,WAS,NBA,,83.0,46.0,26.9,4.8,10.5,0.46,0.2,0.7,0.352,4.6,9.8,0.467,0.471,2.3,2.7,0.832,0.8,2.0,2.7,1.5,0.8,0.1,1.4,2.1,12.1,Courtney Alexander,,,,,,,
1 season,,NOH,NBA,,66.0,7.0,20.6,2.9,7.7,0.382,0.3,0.9,0.333,2.6,6.8,0.388,0.401,1.8,2.2,0.808,0.6,1.2,1.8,1.2,0.5,0.1,1.0,1.9,7.9,Courtney Alexander,,,,,,,
1 season,,DAL,NBA,,38.0,6.0,12.4,1.6,4.7,0.348,0.1,0.3,0.3,1.6,4.4,0.351,0.357,0.9,1.2,0.733,0.5,1.1,1.7,0.6,0.4,0.1,0.6,2.0,4.2,Courtney Alexander,,,,,,,
1993-94,24.0,TOT,NBA,PF,11.0,0.0,5.0,0.7,1.3,0.571,0.0,0.0,,0.7,1.3,0.571,0.571,0.3,0.8,0.333,0.6,0.7,1.4,0.2,0.3,0.0,0.7,0.9,1.7,Gary Alexander,,,,,,,
1993-94,24.0,MIA,NBA,PF,4.0,0.0,3.0,0.3,0.5,0.5,0.0,0.0,,0.3,0.5,0.5,0.5,0.0,0.5,0.0,0.3,0.5,0.8,0.3,0.0,0.0,0.3,0.8,0.5,Gary Alexander,,,,,,,
1993-94,24.0,CLE,NBA,PF,7.0,0.0,6.1,1.0,1.7,0.583,0.0,0.0,,1.0,1.7,0.583,0.583,0.4,1.0,0.429,0.9,0.9,1.7,0.1,0.4,0.0,1.0,1.0,2.4,Gary Alexander,,,,,,,
Career,,,NBA,,11.0,0.0,5.0,0.7,1.3,0.571,0.0,0.0,,0.7,1.3,0.571,0.571,0.3,0.8,0.333,0.6,0.7,1.4,0.2,0.3,0.0,0.7,0.9,1.7,Gary Alexander,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gary Alexander,,,,,,,
1 season,,CLE,NBA,,7.0,0.0,6.1,1.0,1.7,0.583,0.0,0.0,,1.0,1.7,0.583,0.583,0.4,1.0,0.429,0.9,0.9,1.7,0.1,0.4,0.0,1.0,1.0,2.4,Gary Alexander,,,,,,,
1 season,,MIA,NBA,,4.0,0.0,3.0,0.3,0.5,0.5,0.0,0.0,,0.3,0.5,0.5,0.5,0.0,0.5,0.0,0.3,0.5,0.8,0.3,0.0,0.0,0.3,0.8,0.5,Gary Alexander,,,,,,,
2008-09,22.0,MIL,NBA,SF,59.0,0.0,12.1,1.7,4.2,0.416,0.3,0.8,0.348,1.5,3.4,0.432,0.449,1.0,1.4,0.699,0.7,1.2,1.9,0.7,0.3,0.5,0.9,1.8,4.7,Joe Alexander,,,,,,,
2009-10,23.0,CHI,NBA,SF,8.0,0.0,3.6,0.1,0.8,0.167,0.0,0.1,0.0,0.1,0.6,0.2,0.167,0.3,0.4,0.667,0.3,0.4,0.6,0.3,0.1,0.1,0.0,1.1,0.5,Joe Alexander,,,,,,,
Career,,,NBA,,67.0,0.0,11.1,1.5,3.7,0.41,0.2,0.7,0.34,1.3,3.0,0.426,0.442,0.9,1.3,0.698,0.7,1.1,1.8,0.7,0.2,0.4,0.8,1.7,4.2,Joe Alexander,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joe Alexander,,,,,,,
1 season,,MIL,NBA,,59.0,0.0,12.1,1.7,4.2,0.416,0.3,0.8,0.348,1.5,3.4,0.432,0.449,1.0,1.4,0.699,0.7,1.2,1.9,0.7,0.3,0.5,0.9,1.8,4.7,Joe Alexander,,,,,,,
1 season,,CHI,NBA,,8.0,0.0,3.6,0.1,0.8,0.167,0.0,0.1,0.0,0.1,0.6,0.2,0.167,0.3,0.4,0.667,0.3,0.4,0.6,0.3,0.1,0.1,0.0,1.1,0.5,Joe Alexander,,,,,,,
