Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player,Date,Team,Unnamed: 2,Opp,Result,GmSc,+/-
1971-72,25.0,SEA,NBA,C,58.0,,30.7,5.6,12.9,0.429,,,,,,,,2.7,3.7,0.72,,,11.3,2.1,,,,3.1,13.8,Zaid Abdul-Aziz,,,,,,,
1972-73,26.0,HOU,NBA,C,48.0,,18.8,3.1,7.8,0.397,,,,,,,,2.5,3.4,0.735,,,6.3,1.1,,,,2.3,8.7,Zaid Abdul-Aziz,,,,,,,
1973-74,27.0,HOU,NBA,C,79.0,,31.1,4.3,9.3,0.459,,,,,,,,2.4,3.0,0.804,3.3,8.4,11.7,2.1,1.0,1.3,,2.9,10.9,Zaid Abdul-Aziz,,,,,,,
1974-75,28.0,HOU,NBA,C,65.0,,22.3,3.6,8.3,0.437,,,,,,,,2.4,3.1,0.783,2.4,5.1,7.5,1.3,0.6,1.1,,2.0,9.7,Zaid Abdul-Aziz,,,,,,,
1975-76,29.0,SEA,NBA,C,27.0,,8.3,1.3,2.8,0.467,,,,,,,,0.6,1.1,0.552,1.1,1.7,2.8,0.6,0.3,0.6,,1.1,3.2,Zaid Abdul-Aziz,,,,,,,
1976-77,30.0,BUF,NBA,C,22.0,,8.9,1.1,3.4,0.338,,,,,,,,1.5,2.0,0.767,1.9,2.2,4.1,0.3,0.1,0.4,,1.0,3.8,Zaid Abdul-Aziz,,,,,,,
1977-78,31.0,TOT,NBA,"C,PF",16.0,,9.9,1.4,3.8,0.383,,,,,,,,1.1,1.4,0.739,1.2,1.9,3.1,0.6,0.2,0.2,0.9,1.8,3.9,Zaid Abdul-Aziz,,,,,,,
1977-78,31.0,BOS,NBA,C,2.0,,12.0,1.5,6.5,0.231,,,,,,,,1.0,1.5,0.667,3.0,4.5,7.5,1.5,0.5,0.5,1.5,2.0,4.0,Zaid Abdul-Aziz,,,,,,,
1977-78,31.0,HOU,NBA,PF,14.0,,9.6,1.4,3.4,0.426,,,,,,,,1.1,1.4,0.75,0.9,1.6,2.5,0.5,0.1,0.1,0.8,1.8,3.9,Zaid Abdul-Aziz,,,,,,,
Career,,,NBA,,505.0,,21.8,3.5,8.2,0.428,,,,,,,,2.0,2.8,0.728,2.4,5.4,8.0,1.2,0.6,1.0,0.9,2.2,9.0,Zaid Abdul-Aziz,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zaid Abdul-Aziz,,,,,,,
4 seasons,,HOU,NBA,,206.0,,24.0,3.6,8.2,0.437,,,,,,,,2.4,3.0,0.778,2.7,6.5,8.5,1.5,0.8,1.1,0.8,2.4,9.5,Zaid Abdul-Aziz,,,,,,,
3 seasons,,SEA,NBA,,146.0,,22.5,4.2,9.7,0.436,,,,,,,,2.1,3.0,0.717,1.1,1.7,8.2,1.2,0.3,0.6,,2.2,10.6,Zaid Abdul-Aziz,,,,,,,
2 seasons,,MIL,NBA,,109.0,,22.7,3.3,8.2,0.406,,,,,,,,1.7,2.7,0.643,,,9.0,0.9,,,,2.4,8.4,Zaid Abdul-Aziz,,,,,,,
1 season,,BUF,NBA,,22.0,,8.9,1.1,3.4,0.338,,,,,,,,1.5,2.0,0.767,1.9,2.2,4.1,0.3,0.1,0.4,,1.0,3.8,Zaid Abdul-Aziz,,,,,,,
1 season,,CIN,NBA,,20.0,,5.4,0.9,2.2,0.419,,,,,,,,0.1,0.4,0.286,,,1.6,0.2,,,,0.9,1.9,Zaid Abdul-Aziz,,,,,,,
1 season,,BOS,NBA,,2.0,,12.0,1.5,6.5,0.231,,,,,,,,1.0,1.5,0.667,3.0,4.5,7.5,1.5,0.5,0.5,1.5,2.0,4.0,Zaid Abdul-Aziz,,,,,,,
1969-70,22.0,MIL,NBA,C,82.0,,43.1,11.4,22.1,0.518,,,,11.4,22.1,0.518,0.518,5.9,9.1,0.653,,,14.5,4.1,,,,3.5,28.8,Kareem Abdul-Jabbar,,,,,,,
1970-71,23.0,MIL,NBA,C,82.0,,40.1,13.0,22.5,0.577,,,,13.0,22.5,0.577,0.577,5.7,8.3,0.69,,,16.0,3.3,,,,3.2,31.7,Kareem Abdul-Jabbar,,,,,,,
1971-72,24.0,MIL,NBA,C,81.0,,44.2,14.3,24.9,0.574,,,,14.3,24.9,0.574,0.574,6.2,9.0,0.689,,,16.6,4.6,,,,2.9,34.8,Kareem Abdul-Jabbar,,,,,,,
1972-73,25.0,MIL,NBA,C,76.0,,42.8,12.9,23.3,0.554,,,,12.9,23.3,0.554,0.554,4.3,6.1,0.713,,,16.1,5.0,,,,2.7,30.2,Kareem Abdul-Jabbar,,,,,,,
1973-74,26.0,MIL,NBA,C,81.0,,43.8,11.7,21.7,0.539,,,,11.7,21.7,0.539,0.539,3.6,5.2,0.702,3.5,11.0,14.5,4.8,1.4,3.5,,2.9,27.0,Kareem Abdul-Jabbar,,,,,,,
1974-75,27.0,MIL,NBA,C,65.0,,42.3,12.5,24.4,0.513,,,,12.5,24.4,0.513,0.513,5.0,6.6,0.763,3.0,11.0,14.0,4.1,1.0,3.3,,3.2,30.0,Kareem Abdul-Jabbar,,,,,,,
1975-76,28.0,LAL,NBA,C,82.0,82.0,41.2,11.1,21.1,0.529,,,,11.1,21.1,0.529,0.529,5.5,7.8,0.703,3.3,13.5,16.9,5.0,1.5,4.1,,3.6,27.7,Kareem Abdul-Jabbar,,,,,,,
1976-77,29.0,LAL,NBA,C,82.0,82.0,36.8,10.8,18.7,0.579,,,,10.8,18.7,0.579,0.579,4.6,6.5,0.701,3.2,10.0,13.3,3.9,1.2,3.2,,3.2,26.2,Kareem Abdul-Jabbar,,,,,,,
1977-78,30.0,LAL,NBA,C,62.0,,36.5,10.7,19.4,0.55,,,,10.7,19.4,0.55,0.55,4.4,5.6,0.783,3.0,9.9,12.9,4.3,1.7,3.0,3.4,2.9,25.8,Kareem Abdul-Jabbar,,,,,,,
1978-79,31.0,LAL,NBA,C,80.0,,39.5,9.7,16.8,0.577,,,,9.7,16.8,0.577,0.577,4.4,5.9,0.736,2.6,10.2,12.8,5.4,1.0,4.0,3.5,2.9,23.8,Kareem Abdul-Jabbar,,,,,,,
1979-80,32.0,LAL,NBA,C,82.0,,38.3,10.2,16.9,0.604,0.0,0.0,0.0,10.2,16.9,0.604,0.604,4.4,5.8,0.765,2.3,8.5,10.8,4.5,1.0,3.4,3.6,2.6,24.8,Kareem Abdul-Jabbar,,,,,,,
1980-81,33.0,LAL,NBA,C,80.0,,37.2,10.5,18.2,0.574,0.0,0.0,0.0,10.5,18.2,0.574,0.574,5.3,6.9,0.766,2.5,7.8,10.3,3.4,0.7,2.9,3.1,3.1,26.2,Kareem Abdul-Jabbar,,,,,,,
1981-82,34.0,LAL,NBA,C,76.0,76.0,35.2,9.9,17.1,0.579,0.0,0.0,0.0,9.9,17.1,0.58,0.579,4.1,5.8,0.706,2.3,6.4,8.7,3.0,0.8,2.7,3.0,2.9,23.9,Kareem Abdul-Jabbar,,,,,,,
1982-83,35.0,LAL,NBA,C,79.0,79.0,32.3,9.1,15.5,0.588,0.0,0.0,0.0,9.1,15.5,0.589,0.588,3.5,4.7,0.749,2.1,5.4,7.5,2.5,0.8,2.2,2.5,2.8,21.8,Kareem Abdul-Jabbar,,,,,,,
1983-84,36.0,LAL,NBA,C,80.0,80.0,32.8,9.0,15.5,0.578,0.0,0.0,0.0,9.0,15.5,0.579,0.578,3.6,4.9,0.723,2.1,5.2,7.3,2.6,0.7,1.8,2.8,2.6,21.5,Kareem Abdul-Jabbar,,,,,,,
1984-85,37.0,LAL,NBA,C,79.0,79.0,33.3,9.2,15.3,0.599,0.0,0.0,0.0,9.2,15.3,0.6,0.599,3.7,5.0,0.732,2.1,5.8,7.9,3.2,0.8,2.1,2.5,3.0,22.0,Kareem Abdul-Jabbar,,,,,,,
1985-86,38.0,LAL,NBA,C,79.0,79.0,33.3,9.6,16.9,0.564,0.0,0.0,0.0,9.6,16.9,0.565,0.564,4.3,5.6,0.765,1.7,4.4,6.1,3.5,0.8,1.6,2.6,3.1,23.4,Kareem Abdul-Jabbar,,,,,,,
1986-87,39.0,LAL,NBA,C,78.0,78.0,31.3,7.2,12.7,0.564,0.0,0.0,0.333,7.2,12.7,0.565,0.564,3.1,4.4,0.714,1.9,4.8,6.7,2.6,0.6,1.2,2.4,3.1,17.5,Kareem Abdul-Jabbar,,,,,,,
1987-88,40.0,LAL,NBA,C,80.0,80.0,28.9,6.0,11.3,0.532,0.0,0.0,0.0,6.0,11.3,0.532,0.532,2.6,3.4,0.762,1.5,4.5,6.0,1.7,0.6,1.2,2.0,2.7,14.6,Kareem Abdul-Jabbar,,,,,,,
1988-89,41.0,LAL,NBA,C,74.0,74.0,22.9,4.2,8.9,0.475,0.0,0.0,0.0,4.2,8.9,0.477,0.475,1.6,2.2,0.739,1.4,3.1,4.5,1.0,0.5,1.1,1.3,2.6,10.1,Kareem Abdul-Jabbar,,,,,,,
Career,,,NBA,,1560.0,789.0,36.8,10.2,18.1,0.559,0.0,0.0,,10.2,18.1,0.56,0.559,4.3,6.0,0.721,2.4,7.6,11.2,3.6,0.9,2.6,2.7,3.0,24.6,Kareem Abdul-Jabbar,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kareem Abdul-Jabbar,,,,,,,
14 seasons,,LAL,NBA,,1093.0,789.0,34.3,9.1,16.0,0.567,0.0,0.0,,9.1,16.0,0.568,0.567,3.9,5.3,0.737,2.3,7.1,9.4,3.3,0.9,2.5,2.7,2.9,22.1,Kareem Abdul-Jabbar,,,,,,,
6 seasons,,MIL,NBA,,467.0,,42.7,12.6,23.1,0.547,,,,12.6,23.1,0.547,0.547,5.2,7.4,0.695,3.3,11.0,15.3,4.3,1.2,3.4,,3.1,30.4,Kareem Abdul-Jabbar,,,,,,,
1990-91,21.0,DEN,NBA,PG,67,19,22.5,6.2,15.1,.413,0.4,1.5,.240,5.9,13.6,.432,.425,1.3,1.5,.857,0.5,1.3,1.8,3.1,0.8,0.1,1.6,2.2,14.1,Mahmoud Abdul-Rauf,,,,,,,
1991-92,22.0,DEN,NBA,PG,81,11,19.0,4.4,10.4,.421,0.4,1.2,.330,4.0,9.3,.433,.440,1.2,1.3,.870,0.3,1.1,1.4,2.4,0.5,0.0,1.4,1.6,10.3,Mahmoud Abdul-Rauf,,,,,,,
1992-93,23.0,DEN,NBA,PG,81,81,33.5,7.8,17.4,.450,0.9,2.4,.355,7.0,14.9,.465,.475,2.7,2.9,.935,0.6,2.1,2.8,4.2,1.0,0.1,2.3,2.2,19.2,Mahmoud Abdul-Rauf,,,,,,,
1993-94,24.0,DEN,NBA,PG,80,78,32.7,7.4,16.0,.460,0.5,1.7,.316,6.8,14.3,.476,.476,2.7,2.9,.956,0.3,1.8,2.1,4.5,1.0,0.1,1.9,1.9,18.0,Mahmoud Abdul-Rauf,,,,,,,
1994-95,25.0,DEN,NBA,PG,73,43,28.5,6.5,13.8,.470,1.1,2.9,.386,5.3,10.8,.492,.511,1.9,2.1,.885,0.4,1.4,1.9,3.6,1.1,0.1,1.6,1.7,16.0,Mahmoud Abdul-Rauf,,,,,,,
1995-96,26.0,DEN,NBA,PG,57,53,35.6,7.3,16.8,.434,2.1,5.4,.392,5.1,11.3,.454,.497,2.6,2.8,.930,0.5,2.0,2.4,6.8,1.1,0.1,2.0,2.1,19.2,Mahmoud Abdul-Rauf,,,,,,,
1996-97,27.0,SAC,NBA,PG,75,51,28.4,5.5,12.3,.445,1.3,3.3,.382,4.2,9.0,.468,.496,1.5,1.8,.846,0.2,1.4,1.6,2.5,0.7,0.1,1.6,2.3,13.7,Mahmoud Abdul-Rauf,,,,,,,
1997-98,28.0,SAC,NBA,PG,31,0,17.1,3.3,8.8,.377,0.2,1.0,.161,3.2,7.8,.405,.386,0.5,0.5,1.000,0.2,1.0,1.2,1.9,0.5,0.0,0.6,1.0,7.3,Mahmoud Abdul-Rauf,,,,,,,
1998-99,29.0,Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Did Not Play (other pro league—Turkey),Mahmoud Abdul-Rauf,,,,,,,
1999-00,30.0,Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Did Not Play (retired),Mahmoud Abdul-Rauf,,,,,,,
2000-01,31.0,VAN,NBA,PG,41,0,11.9,2.9,6.0,.488,0.1,0.3,.286,2.8,5.7,.500,.496,0.5,0.7,.759,0.1,0.5,0.6,1.9,0.2,0.0,0.6,1.2,6.5,Mahmoud Abdul-Rauf,,,,,,,
Career,,,NBA,,586,336,26.7,6.0,13.6,.442,0.8,2.3,.354,5.2,11.3,.460,.472,1.8,2.0,.905,0.4,1.5,1.9,3.5,0.8,0.1,1.6,1.9,14.6,Mahmoud Abdul-Rauf,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mahmoud Abdul-Rauf,,,,,,,
6 seasons,,DEN,NBA,,439,285,28.4,6.6,14.8,.443,0.8,2.4,.354,5.7,12.4,.460,.472,2.0,2.2,.916,0.4,1.6,2.1,4.0,0.9,0.1,1.8,1.9,16.0,Mahmoud Abdul-Rauf,,,,,,,
2 seasons,,SAC,NBA,,106,51,25.1,4.8,11.3,.429,0.9,2.6,.357,3.9,8.7,.451,.471,1.2,1.4,.862,0.2,1.3,1.5,2.3,0.7,0.1,1.3,1.9,11.9,Mahmoud Abdul-Rauf,,,,,,,
1 season,,VAN,NBA,,41,0,11.9,2.9,6.0,.488,0.1,0.3,.286,2.8,5.7,.500,.496,0.5,0.7,.759,0.1,0.5,0.6,1.9,0.2,0.0,0.6,1.2,6.5,Mahmoud Abdul-Rauf,,,,,,,
1997-98,23.0,SAC,NBA,SG,59.0,16.0,16.3,2.4,6.1,0.403,0.1,0.3,0.211,2.4,5.7,0.414,0.409,1.4,2.1,0.672,0.7,1.2,2.0,0.9,0.6,0.2,1.1,1.4,6.4,Tariq Abdul-Wahad,,,,,,,
1998-99,24.0,SAC,NBA,SG,49.0,49.0,24.6,3.6,8.3,0.435,0.1,0.4,0.286,3.5,7.9,0.443,0.442,1.9,2.8,0.691,1.5,2.3,3.8,1.0,1.0,0.3,1.4,2.5,9.3,Tariq Abdul-Wahad,,,,,,,
1999-00,25.0,TOT,NBA,SG,61.0,56.0,25.9,4.5,10.6,0.424,0.0,0.4,0.13,4.4,10.2,0.435,0.426,2.4,3.2,0.756,1.7,3.1,4.8,1.6,1.0,0.5,1.7,2.4,11.4,Tariq Abdul-Wahad,,,,,,,
1999-00,25.0,ORL,NBA,SG,46.0,46.0,26.2,4.8,11.2,0.433,0.0,0.5,0.095,4.8,10.7,0.447,0.435,2.5,3.3,0.762,1.7,3.5,5.2,1.6,1.2,0.3,1.9,2.5,12.2,Tariq Abdul-Wahad,,,,,,,
1999-00,25.0,DEN,NBA,SG,15.0,10.0,24.9,3.4,8.7,0.389,0.1,0.1,0.5,3.3,8.6,0.388,0.393,2.1,2.8,0.738,1.6,1.9,3.5,1.7,0.4,0.8,1.3,2.1,8.9,Tariq Abdul-Wahad,,,,,,,
2000-01,26.0,DEN,NBA,SG,29.0,12.0,14.5,1.5,3.8,0.387,0.1,0.3,0.4,1.3,3.5,0.386,0.405,0.7,1.2,0.583,0.5,1.6,2.0,0.8,0.5,0.4,1.2,1.9,3.8,Tariq Abdul-Wahad,,,,,,,
2001-02,27.0,TOT,NBA,SG,24.0,12.0,18.4,2.3,6.1,0.374,0.0,0.1,0.5,2.3,6.0,0.372,0.378,1.0,1.4,0.727,1.7,1.8,3.5,1.0,0.8,0.4,1.1,2.3,5.6,Tariq Abdul-Wahad,,,,,,,
2001-02,27.0,DEN,NBA,SG,20.0,12.0,20.9,2.8,7.3,0.379,0.1,0.1,0.5,2.7,7.2,0.378,0.383,1.2,1.6,0.75,2.0,2.0,3.9,1.1,0.9,0.5,1.2,2.6,6.8,Tariq Abdul-Wahad,,,,,,,
